Country,HS4,Section,Trade Value
Afghanistan,Grapes,Vegetable Products,236665308.75958857
Afghanistan,Insect Resins,Vegetable Products,103650257.0
Afghanistan,Gold,Precious Metals,93913530.0
Afghanistan,Coal Briquettes,Mineral Products,86981899.1690734
Afghanistan,Tropical Fruits,Vegetable Products,82947259.9242694
Albania,Leather Footwear,Footwear and Headwear,357635061.2391215
Albania,Footwear Parts,Footwear and Headwear,229493825.22329575
Albania,Crude Petroleum,Mineral Products,185357582.67064098
Albania,Non-Knit Men's Suits,Textiles,122942236.19324216
Albania,Ferroalloys,Metals,117366153.0653474
Algeria,Crude Petroleum,Mineral Products,15946854475.276674
Algeria,Petroleum Gas,Mineral Products,12792905038.055038
Algeria,Refined Petroleum,Mineral Products,7047113883.458322
Algeria,Nitrogenous Fertilizers,Chemical Products,808823193.997042
Algeria,Ammonia,Chemical Products,456334413.7686991
American Samoa,Petroleum Gas,Mineral Products,26593054.0
American Samoa,Animal Meal and Pellets,Foodstuffs,12074813.0
American Samoa,Delivery Trucks,Transportation,11993199.0
American Samoa,Non-fillet Frozen Fish,Animal Products,7367220.0
American Samoa,Refined Petroleum,Mineral Products,1484387.0000000002
Andorra,Integrated Circuits,Machines,23660033.73313759
Andorra,Cars,Transportation,16410312.278629927
Andorra,Essential Oils,Chemical Products,14276071.0
Andorra,Orthopedic Appliances,Instruments,12098795.840201031
Andorra,Gold,Precious Metals,3847786.398276888
Angola,Crude Petroleum,Mineral Products,35462699963.7722
Angola,Diamonds,Precious Metals,2490501029.0000005
Angola,Petroleum Gas,Mineral Products,1651455362.2978191
Angola,Refined Petroleum,Mineral Products,513773127.68510425
Angola,Coal Tar Oil,Mineral Products,146442793.0
Anguilla,Hard Liquor,Foodstuffs,2400980.0
Anguilla,Packaged Medicaments,Chemical Products,2268441.0
Anguilla,Manganese Ore,Mineral Products,1641008.65809629
Anguilla,Insulated Wire,Machines,905876.442349789
Anguilla,Other Iron Products,Metals,723337.7289389279
Antigua and Barbuda,Passenger and Cargo Ships,Transportation,124573504.0
Antigua and Barbuda,Refined Petroleum,Mineral Products,13722884.247467708
Antigua and Barbuda,Precious Metal Scraps,Precious Metals,8669839.520721203
Antigua and Barbuda,Corn,Vegetable Products,6298821.230906326
Antigua and Barbuda,Other Furniture,Miscellaneous,4922194.104668167
Argentina,Soybean Meal,Foodstuffs,9201733272.411615
Argentina,Corn,Vegetable Products,4437875416.892586
Argentina,Delivery Trucks,Transportation,3935824720.071939
Argentina,Soybean Oil,Animal and Vegetable Bi-Products,2946881443.972364
Argentina,Wheat,Vegetable Products,2491319852.873604
Armenia,Copper Ore,Mineral Products,692694098.6864151
