Country,HS4,Section,Trade Value
Afghanistan,Peat,Mineral Products,487493131.1605358
Afghanistan,Wheat Flours,Vegetable Products,476672409.4171815
Afghanistan,Raw Sugar,Foodstuffs,378850867.1707176
Afghanistan,Aircraft Parts,Transportation,372963902.3973996
Afghanistan,Inedible Fats and Oils,Animal and Vegetable Bi-Products,357620163.81204015
Albania,Refined Petroleum,Mineral Products,414817664.63323444
Albania,Cars,Transportation,211021397.2092089
Albania,Packaged Medicaments,Chemical Products,145563763.73274967
Albania,Tanned Equine and Bovine Hides,Animal Hides,109609464.24312866
Albania,Footwear Parts,Footwear and Headwear,100352389.68196318
Algeria,Refined Petroleum,Mineral Products,2066504735.0
Algeria,Wheat,Vegetable Products,1849901816.0
Algeria,Cars,Transportation,1426779125.0
Algeria,Concentrated Milk,Animal Products,1106662407.0
Algeria,Packaged Medicaments,Chemical Products,1089079299.0
American Samoa,Refined Petroleum,Mineral Products,59103885.0
American Samoa,Non-fillet Frozen Fish,Animal Products,31517058.0
American Samoa,Paper Containers,Paper Goods,4448232.0
American Samoa,Cars,Transportation,2659521.0
American Samoa,Sawn Wood,Wood Products,2476624.0
Andorra,Cars,Transportation,150981371.58203503
Andorra,Refined Petroleum,Mineral Products,101920628.93319704
Andorra,Perfumes,Chemical Products,47714706.29656126
Andorra,Shaving Products,Chemical Products,41171620.074539505
Andorra,Hard Liquor,Foodstuffs,38318864.26803535
Angola,Refined Petroleum,Mineral Products,1840189079.1111796
Angola,Special Purpose Ships,Transportation,1694604577.4991887
Angola,Poultry Meat,Animal Products,361536292.279282
Angola,Gas Turbines,Machines,298378619.1704396
Angola,Rice,Vegetable Products,281975013.28707707
Anguilla,Refined Petroleum,Mineral Products,10090238.000000002
Anguilla,Other Furniture,Miscellaneous,5869263.0
Anguilla,Cars,Transportation,3910879.0
Anguilla,Light Fixtures,Miscellaneous,3059425.0
Anguilla,Centrifuges,Machines,2858707.0
Antigua and Barbuda,Refined Petroleum,Mineral Products,242507408.79712993
Antigua and Barbuda,Passenger and Cargo Ships,Transportation,149635612.0
Antigua and Barbuda,Cars,Transportation,30449259.813855764
Antigua and Barbuda,Recreational Boats,Transportation,17802066.13836413
Antigua and Barbuda,Other Furniture,Miscellaneous,12155665.256508498
Argentina,Cars,Transportation,5054941651.278736
Argentina,Refined Petroleum,Mineral Products,2926596932.930744
Argentina,Vehicle Parts,Transportation,2848616625.555067
Argentina,Petroleum Gas,Mineral Products,2398161273.026418
Argentina,Soybeans,Vegetable Products,2357638620.806451
Armenia,Petroleum Gas,Mineral Products,340087867.0029681
Armenia,Refined Petroleum,Mineral Products,226952402.21261257
Armenia,Diamonds,Precious Metals,174965259.1855617
Armenia,Cars,Transportation,174120111.46002635
Armenia,Broadcasting Equipment,Machines,140043033.1102122
Aruba,Refined Petroleum,Mineral Products,155366299.82008603
Aruba,Crude Petroleum,Mineral Products,155308605.0
Aruba,Cars,Transportation,53033105.27511895
